emoji,description,aliases,tags,category,unicode_version,ios_version
🍐,pear,pear,,Food & Drink,6.0,6.0
🍑,peach,peach,,Food & Drink,6.0,6.0
🍒,cherries,cherries,fruit,Food & Drink,6.0,6.0
🍓,strawberry,strawberry,fruit,Food & Drink,6.0,6.0
🫐,blueberries,blueberries,,Food & Drink,13.0,14.0
🥝,kiwi fruit,kiwi_fruit,,Food & Drink,9.0,10.2
🍅,tomato,tomato,,Food & Drink,6.0,6.0
🫒,olive,olive,,Food & Drink,13.0,14.0
🥥,coconut,coconut,,Food & Drink,11.0,12.1
🥑,avocado,avocado,,Food & Drink,9.0,10.2
🍆,eggplant,eggplant,aubergine,Food & Drink,6.0,6.0
🥔,potato,potato,,Food & Drink,9.0,10.2
🥕,carrot,carrot,,Food & Drink,9.0,10.2
🌽,ear of corn,corn,,Food & Drink,6.0,6.0
🌶️,hot pepper,hot_pepper,spicy,Food & Drink,7.0,9.1
🫑,bell pepper,bell_pepper,,Food & Drink,13.0,14.0
🥒,cucumber,cucumber,,Food & Drink,9.0,10.2
🥬,leafy green,leafy_green,,Food & Drink,11.0,12.1
🥦,broccoli,broccoli,,Food & Drink,11.0,12.1
🧄,garlic,garlic,,Food & Drink,12.0,13.0
🧅,onion,onion,,Food & Drink,12.0,13.0
🥜,peanuts,peanuts,,Food & Drink,9.0,10.2
🫘,beans,beans,,Food & Drink,14.0,15.4
🌰,chestnut,chestnut,,Food & Drink,6.0,6.0
🫚,ginger root,ginger_root,,Food & Drink,15.0,16.4
🫛,pea pod,pea_pod,,Food & Drink,15.0,16.4
🍞,bread,bread,toast,Food & Drink,6.0,6.0
🥐,croissant,croissant,,Food & Drink,9.0,10.2
🥖,baguette bread,baguette_bread,,Food & Drink,9.0,10.2
🫓,flatbread,flatbread,,Food & Drink,13.0,14.0
🥨,pretzel,pretzel,,Food & Drink,11.0,12.1
🥯,bagel,bagel,,Food & Drink,11.0,12.1
🥞,pancakes,pancakes,,Food & Drink,9.0,10.2
🧇,waffle,waffle,,Food & Drink,12.0,13.0
🧀,cheese wedge,cheese,,Food & Drink,8.0,9.1
🍖,meat on bone,meat_on_bone,,Food & Drink,6.0,6.0
🍗,poultry leg,poultry_leg,meat chicken,Food & Drink,6.0,6.0
🥩,cut of meat,cut_of_meat,,Food & Drink,11.0,12.1
🥓,bacon,bacon,,Food & Drink,9.0,10.2
🍔,hamburger,hamburger,burger,Food & Drink,6.0,6.0
🍟,french fries,fries,,Food & Drink,6.0,6.0
🍕,pizza,pizza,,Food & Drink,6.0,6.0
🌭,hot dog,hotdog,,Food & Drink,8.0,9.1
🥪,sandwich,sandwich,,Food & Drink,11.0,12.1
🌮,taco,taco,,Food & Drink,8.0,9.1
🌯,burrito,burrito,,Food & Drink,8.0,9.1
🫔,tamale,tamale,,Food & Drink,13.0,14.0
🥙,stuffed flatbread,stuffed_flatbread,,Food & Drink,9.0,10.2
🧆,falafel,falafel,,Food & Drink,12.0,13.0
🥚,egg,egg,,Food & Drink,9.0,10.2
🍳,cooking,fried_egg,breakfast,Food & Drink,6.0,6.0
🥘,shallow pan of food,shallow_pan_of_food,paella curry,Food & Drink,,10.2
🍲,pot of food,stew,,Food & Drink,6.0,6.0
🫕,fondue,fondue,,Food & Drink,13.0,14.0
🥣,bowl with spoon,bowl_with_spoon,,Food & Drink,11.0,12.1
🥗,green salad,green_salad,,Food & Drink,9.0,10.2
🍿,popcorn,popcorn,,Food & Drink,8.0,9.1
🧈,butter,butter,,Food & Drink,12.0,13.0
🧂,salt,salt,,Food & Drink,11.0,12.1
🥫,canned food,canned_food,,Food & Drink,11.0,12.1
🍱,bento box,bento,,Food & Drink,6.0,6.0
🍘,rice cracker,rice_cracker,,Food & Drink,6.0,6.0
🍙,rice ball,rice_ball,,Food & Drink,6.0,6.0
🍚,cooked rice,rice,,Food & Drink,6.0,6.0
🍛,curry rice,curry,,Food & Drink,6.0,6.0
🍜,steaming bowl,ramen,noodle,Food & Drink,6.0,6.0
🍝,spaghetti,spaghetti,pasta,Food & Drink,6.0,6.0
🍠,roasted sweet potato,sweet_potato,,Food & Drink,6.0,6.0
🍢,oden,oden,,Food & Drink,6.0,6.0
🍣,sushi,sushi,,Food & Drink,6.0,6.0
🍤,fried shrimp,fried_shrimp,tempura,Food & Drink,6.0,6.0
🍥,fish cake with swirl,fish_cake,,Food & Drink,6.0,6.0
🥮,moon cake,moon_cake,,Food & Drink,11.0,12.1
🍡,dango,dango,,Food & Drink,6.0,6.0
🥟,dumpling,dumpling,,Food & Drink,11.0,12.1
🥠,fortune cookie,fortune_cookie,,Food & Drink,11.0,12.1
🥡,takeout box,takeout_box,,Food & Drink,11.0,12.1
🦀,crab,crab,,Food & Drink,8.0,9.1
🦞,lobster,lobster,,Food & Drink,11.0,12.1
🦐,shrimp,shrimp,,Food & Drink,9.0,10.2
🦑,squid,squid,,Food & Drink,9.0,10.2
🦪,oyster,oyster,,Food & Drink,12.0,13.0
🍦,soft ice cream,icecream,,Food & Drink,6.0,6.0
🍧,shaved ice,shaved_ice,,Food & Drink,6.0,6.0
🍨,ice cream,ice_cream,,Food & Drink,6.0,6.0
🍩,doughnut,doughnut,,Food & Drink,6.0,6.0
🍪,cookie,cookie,,Food & Drink,6.0,6.0
🎂,birthday cake,birthday,party,Food & Drink,6.0,6.0
🍰,shortcake,cake,dessert,Food & Drink,6.0,6.0
🧁,cupcake,cupcake,,Food & Drink,11.0,12.1
🥧,pie,pie,,Food & Drink,11.0,12.1
🍫,chocolate bar,chocolate_bar,,Food & Drink,6.0,6.0
🍬,candy,candy,sweet,Food & Drink,6.0,6.0
🍭,lollipop,lollipop,,Food & Drink,6.0,6.0
🍮,custard,custard,,Food & Drink,6.0,6.0
🍯,honey pot,honey_pot,,Food & Drink,6.0,6.0
🍼,baby bottle,baby_bottle,milk,Food & Drink,6.0,6.0
🥛,glass of milk,milk_glass,,Food & Drink,9.0,10.2
☕,hot beverage,coffee,cafe espresso,Food & Drink,4.0,6.0
🫖,teapot,teapot,,Food & Drink,13.0,14.0
🍵,teacup without handle,tea,green breakfast,Food & Drink,6.0,6.0
🍶,sake,sake,,Food & Drink,6.0,6.0
🍾,bottle with popping cork,champagne,bottle bubbly celebration,Food & Drink,8.0,9.1
🍷,wine glass,wine_glass,,Food & Drink,6.0,6.0
🍸,cocktail glass,cocktail,drink,Food & Drink,6.0,6.0
🍹,tropical drink,tropical_drink,summer vacation,Food & Drink,6.0,6.0
🍺,beer mug,beer,drink,Food & Drink,6.0,6.0
🍻,clinking beer mugs,beers,drinks,Food & Drink,6.0,6.0
🥂,clinking glasses,clinking_glasses,cheers toast,Food & Drink,9.0,10.2
🥃,tumbler glass,tumbler_glass,whisky,Food & Drink,9.0,10.2
🫗,pouring liquid,pouring_liquid,,Food & Drink,14.0,15.4
🥤,cup with straw,cup_with_straw,,Food & Drink,11.0,12.1
🧋,bubble tea,bubble_tea,,Food & Drink,13.0,14.0
🧃,beverage box,beverage_box,,Food & Drink,12.0,13.0
🧉,mate,mate,,Food & Drink,12.0,13.0
🧊,ice,ice_cube,,Food & Drink,12.0,13.0
🥢,chopsticks,chopsticks,,Food & Drink,11.0,12.1
🍽️,fork and knife with plate,plate_with_cutlery,dining dinner,Food & Drink,7.0,9.1
🍴,fork and knife,fork_and_knife,cutlery,Food & Drink,6.0,6.0
🥄,spoon,spoon,,Food & Drink,9.0,10.2
🔪,kitchen knife,hocho knife,cut chop,Food & Drink,6.0,6.0
🫙,jar,jar,,Food & Drink,14.0,15.4
🏺,amphora,amphora,,Food & Drink,8.0,9.1
🌍,globe showing Europe-Africa,earth_africa,globe world international,Travel & Places,6.0,6.0
🌎,globe showing Americas,earth_americas,globe world international,Travel & Places,6.0,6.0
🌏,globe showing Asia-Australia,earth_asia,globe world international,Travel & Places,6.0,6.0
🌐,globe with meridians,globe_with_meridians,world global international,Travel & Places,6.0,6.0
🗺️,world map,world_map,travel,Travel & Places,7.0,9.1
🗾,map of Japan,japan,,Travel & Places,6.0,6.0
🧭,compass,compass,,Travel & Places,11.0,12.1
🏔️,snow-capped mountain,mountain_snow,,Travel & Places,7.0,9.1
⛰️,mountain,mountain,,Travel & Places,5.2,9.1
🌋,volcano,volcano,,Travel & Places,6.0,6.0
🗻,mount fuji,mount_fuji,,Travel & Places,6.0,6.0
🏕️,camping,camping,,Travel & Places,7.0,9.1
🏖️,beach with umbrella,beach_umbrella,,Travel & Places,7.0,9.1
🏜️,desert,desert,,Travel & Places,7.0,9.1
🏝️,desert island,desert_island,,Travel & Places,7.0,9.1
🏞️,national park,national_park,,Travel & Places,7.0,9.1
🏟️,stadium,stadium,,Travel & Places,7.0,9.1
🏛️,classical building,classical_building,,Travel & Places,7.0,9.1
🏗️,building construction,building_construction,,Travel & Places,7.0,9.1
🧱,brick,bricks,,Travel & Places,11.0,12.1
🪨,rock,rock,,Travel & Places,13.0,14.0
🪵,wood,wood,,Travel & Places,13.0,14.0
🛖,hut,hut,,Travel & Places,13.0,14.0
🏘️,houses,houses,,Travel & Places,7.0,9.1
🏚️,derelict house,derelict_house,,Travel & Places,7.0,9.1
🏠,house,house,,Travel & Places,6.0,6.0
🏡,house with garden,house_with_garden,,Travel & Places,6.0,6.0
🏢,office building,office,,Travel & Places,6.0,6.0
🏣,Japanese post office,post_office,,Travel & Places,6.0,6.0
🏤,post office,european_post_office,,Travel & Places,6.0,6.0
🏥,hospital,hospital,,Travel & Places,6.0,6.0
🏦,bank,bank,,Travel & Places,6.0,6.0
🏨,hotel,hotel,,Travel & Places,6.0,6.0
🏩,love hotel,love_hotel,,Travel & Places,6.0,6.0
🏪,convenience store,convenience_store,,Travel & Places,6.0,6.0
🏫,school,school,,Travel & Places,6.0,6.0
🏬,department store,department_store,,Travel & Places,6.0,6.0
🏭,factory,factory,,Travel & Places,6.0,6.0
🏯,Japanese castle,japanese_castle,,Travel & Places,6.0,6.0
🏰,castle,european_castle,,Travel & Places,6.0,6.0
💒,wedding,wedding,marriage,Travel & Places,6.0,6.0
🗼,Tokyo tower,tokyo_tower,,Travel & Places,6.0,6.0
🗽,Statue of Liberty,statue_of_liberty,,Travel & Places,6.0,6.0
⛪,church,church,,Travel & Places,5.2,6.0
🕌,mosque,mosque,,Travel & Places,8.0,9.1
🛕,hindu temple,hindu_temple,,Travel & Places,12.0,13.0
🕍,synagogue,synagogue,,Travel & Places,8.0,9.1
⛩️,shinto shrine,shinto_shrine,,Travel & Places,5.2,9.1
🕋,kaaba,kaaba,,Travel & Places,8.0,9.1
⛲,fountain,fountain,,Travel & Places,5.2,6.0
⛺,tent,tent,camping,Travel & Places,5.2,6.0
🌁,foggy,foggy,karl,Travel & Places,6.0,6.0
🌃,night with stars,night_with_stars,,Travel & Places,6.0,6.0
🏙️,cityscape,cityscape,skyline,Travel & Places,7.0,9.1
🌄,sunrise over mountains,sunrise_over_mountains,,Travel & Places,6.0,6.0
🌅,sunrise,sunrise,,Travel & Places,6.0,6.0
🌆,cityscape at dusk,city_sunset,,Travel & Places,6.0,6.0
🌇,sunset,city_sunrise,,Travel & Places,6.0,6.0
🌉,bridge at night,bridge_at_night,,Travel & Places,6.0,6.0
♨️,hot springs,hotsprings,,Travel & Places,,6.0
🎠,carousel horse,carousel_horse,,Travel & Places,6.0,6.0
🛝,playground slide,playground_slide,,Travel & Places,14.0,15.4
🎡,ferris wheel,ferris_wheel,,Travel & Places,6.0,6.0
🎢,roller coaster,roller_coaster,,Travel & Places,6.0,6.0
💈,barber pole,barber,,Travel & Places,6.0,6.0
🎪,circus tent,circus_tent,,Travel & Places,6.0,6.0
🚂,locomotive,steam_locomotive,train,Travel & Places,6.0,6.0
🚃,railway car,railway_car,,Travel & Places,6.0,6.0
🚄,high-speed train,bullettrain_side,train,Travel & Places,6.0,6.0
🚅,bullet train,bullettrain_front,train,Travel & Places,6.0,6.0
🚆,train,train2,,Travel & Places,6.0,6.0
🚇,metro,metro,,Travel & Places,6.0,6.0
🚈,light rail,light_rail,,Travel & Places,6.0,6.0
🚉,station,station,,Travel & Places,6.0,6.0
🚊,tram,tram,,Travel & Places,6.0,6.0
🚝,monorail,monorail,,Travel & Places,6.0,6.0
🚞,mountain railway,mountain_railway,,Travel & Places,6.0,6.0
🚋,tram car,train,,Travel & Places,6.0,6.0
🚌,bus,bus,,Travel & Places,6.0,6.0
🚍,oncoming bus,oncoming_bus,,Travel & Places,6.0,6.0
🚎,trolleybus,trolleybus,,Travel & Places,6.0,6.0
🚐,minibus,minibus,,Travel & Places,6.0,6.0
🚑,ambulance,ambulance,,Travel & Places,6.0,6.0
🚒,fire engine,fire_engine,,Travel & Places,6.0,6.0
🚓,police car,police_car,,Travel & Places,6.0,6.0
🚔,oncoming police car,oncoming_police_car,,Travel & Places,6.0,6.0
🚕,taxi,taxi,,Travel & Places,6.0,6.0
🚖,oncoming taxi,oncoming_taxi,,Travel & Places,6.0,6.0
🚗,automobile,car red_car,,Travel & Places,6.0,6.0
🚘,oncoming automobile,oncoming_automobile,,Travel & Places,6.0,6.0
🚙,sport utility vehicle,blue_car,,Travel & Places,6.0,6.0
🛻,pickup truck,pickup_truck,,Travel & Places,13.0,14.0
🚚,delivery truck,truck,,Travel & Places,6.0,6.0
🚛,articulated lorry,articulated_lorry,,Travel & Places,6.0,6.0
🚜,tractor,tractor,,Travel & Places,6.0,6.0
🏎️,racing car,racing_car,,Travel & Places,7.0,9.1
🏍️,motorcycle,motorcycle,,Travel & Places,7.0,9.1
🛵,motor scooter,motor_scooter,,Travel & Places,9.0,10.2
🦽,manual wheelchair,manual_wheelchair,,Travel & Places,12.0,13.0
🦼,motorized wheelchair,motorized_wheelchair,,Travel & Places,12.0,13.0
🛺,auto rickshaw,auto_rickshaw,,Travel & Places,12.0,13.0
🚲,bicycle,bike,bicycle,Travel & Places,6.0,6.0
🛴,kick scooter,kick_scooter,,Travel & Places,9.0,10.2
🛹,skateboard,skateboard,,Travel & Places,11.0,12.1
🛼,roller skate,roller_skate,,Travel & Places,13.0,14.0
🚏,bus stop,busstop,,Travel & Places,6.0,6.0
🛣️,motorway,motorway,,Travel & Places,7.0,9.1
🛤️,railway track,railway_track,,Travel & Places,7.0,9.1
🛢️,oil drum,oil_drum,,Travel & Places,7.0,9.1
⛽,fuel pump,fuelpump,,Travel & Places,5.2,6.0
🛞,wheel,wheel,,Travel & Places,14.0,15.4
🚨,police car light,rotating_light,911 emergency,Travel & Places,6.0,6.0
🚥,horizontal traffic light,traffic_light,,Travel & Places,6.0,6.0
🚦,vertical traffic light,vertical_traffic_light,semaphore,Travel & Places,6.0,6.0
🛑,stop sign,stop_sign,,Travel & Places,9.0,10.2
🚧,construction,construction,wip,Travel & Places,6.0,6.0
⚓,anchor,anchor,ship,Travel & Places,4.1,6.0
🛟,ring buoy,ring_buoy,life preserver,Travel & Places,14.0,15.4
⛵,sailboat,boat sailboat,,Travel & Places,5.2,6.0
🛶,canoe,canoe,,Travel & Places,9.0,10.2
🚤,speedboat,speedboat,ship,Travel & Places,6.0,6.0
🛳️,passenger ship,passenger_ship,cruise,Travel & Places,7.0,9.1
⛴️,ferry,ferry,,Travel & Places,5.2,9.1
🛥️,motor boat,motor_boat,,Travel & Places,7.0,9.1
🚢,ship,ship,,Travel & Places,6.0,6.0
✈️,airplane,airplane,flight,Travel & Places,,6.0
🛩️,small airplane,small_airplane,flight,Travel & Places,7.0,9.1
🛫,airplane departure,flight_departure,,Travel & Places,7.0,9.1
🛬,airplane arrival,flight_arrival,,Travel & Places,7.0,9.1
🪂,parachute,parachute,,Travel & Places,12.0,13.0
💺,seat,seat,,Travel & Places,6.0,6.0
🚁,helicopter,helicopter,,Travel & Places,6.0,6.0
🚟,suspension railway,suspension_railway,,Travel & Places,6.0,6.0
🚠,mountain cableway,mountain_cableway,,Travel & Places,6.0,6.0
🚡,aerial tramway,aerial_tramway,,Travel & Places,6.0,6.0
🛰️,satellite,artificial_satellite,orbit space,Travel & Places,7.0,9.1
🚀,rocket,rocket,ship launch,Travel & Places,6.0,6.0
🛸,flying saucer,flying_saucer,ufo,Travel & Places,11.0,12.1
🛎️,bellhop bell,bellhop_bell,,Travel & Places,7.0,9.1
🧳,luggage,luggage,,Travel & Places,11.0,12.1
⌛,hourglass done,hourglass,time,Travel & Places,,6.0
⏳,hourglass not done,hourglass_flowing_sand,time,Travel & Places,6.0,6.0
⌚,watch,watch,time,Travel & Places,,6.0
⏰,alarm clock,alarm_clock,morning,Travel & Places,6.0,6.0
⏱️,stopwatch,stopwatch,,Travel & Places,6.0,9.1
⏲️,timer clock,timer_clock,,Travel & Places,6.0,9.1
🕰️,mantelpiece clock,mantelpiece_clock,,Travel & Places,7.0,9.1
🕛,twelve o’clock,clock12,,Travel & Places,6.0,6.0
🕧,twelve-thirty,clock1230,,Travel & Places,6.0,6.0
🕐,one o’clock,clock1,,Travel & Places,6.0,6.0
🕜,one-thirty,clock130,,Travel & Places,6.0,6.0
🕑,two o’clock,clock2,,Travel & Places,6.0,6.0
🕝,two-thirty,clock230,,Travel & Places,6.0,6.0
🕒,three o’clock,clock3,,Travel & Places,6.0,6.0
🕞,three-thirty,clock330,,Travel & Places,6.0,6.0
🕓,four o’clock,clock4,,Travel & Places,6.0,6.0
🕟,four-thirty,clock430,,Travel & Places,6.0,6.0
🕔,five o’clock,clock5,,Travel & Places,6.0,6.0
🕠,five-thirty,clock530,,Travel & Places,6.0,6.0
🕕,six o’clock,clock6,,Travel & Places,6.0,6.0
🕡,six-thirty,clock630,,Travel & Places,6.0,6.0
🕖,seven o’clock,clock7,,Travel & Places,6.0,6.0
🕢,seven-thirty,clock730,,Travel & Places,6.0,6.0
🕗,eight o’clock,clock8,,Travel & Places,6.0,6.0
🕣,eight-thirty,clock830,,Travel & Places,6.0,6.0
🕘,nine o’clock,clock9,,Travel & Places,6.0,6.0
🕤,nine-thirty,clock930,,Travel & Places,6.0,6.0
🕙,ten o’clock,clock10,,Travel & Places,6.0,6.0
🕥,ten-thirty,clock1030,,Travel & Places,6.0,6.0
🕚,eleven o’clock,clock11,,Travel & Places,6.0,6.0
🕦,eleven-thirty,clock1130,,Travel & Places,6.0,6.0
🌑,new moon,new_moon,,Travel & Places,6.0,6.0
🌒,waxing crescent moon,waxing_crescent_moon,,Travel & Places,6.0,6.0
🌓,first quarter moon,first_quarter_moon,,Travel & Places,6.0,6.0
🌔,waxing gibbous moon,moon waxing_gibbous_moon,,Travel & Places,6.0,6.0
🌕,full moon,full_moon,,Travel & Places,6.0,6.0
🌖,waning gibbous moon,waning_gibbous_moon,,Travel & Places,6.0,6.0
🌗,last quarter moon,last_quarter_moon,,Travel & Places,6.0,6.0
🌘,waning crescent moon,waning_crescent_moon,,Travel & Places,6.0,6.0
🌙,crescent moon,crescent_moon,night,Travel & Places,6.0,6.0
🌚,new moon face,new_moon_with_face,,Travel & Places,6.0,6.0
🌛,first quarter moon face,first_quarter_moon_with_face,,Travel & Places,6.0,6.0
🌜,last quarter moon face,last_quarter_moon_with_face,,Travel & Places,6.0,6.0
🌡️,thermometer,thermometer,,Travel & Places,7.0,9.1
☀️,sun,sunny,weather,Travel & Places,,6.0
🌝,full moon face,full_moon_with_face,,Travel & Places,6.0,6.0
🌞,sun with face,sun_with_face,summer,Travel & Places,6.0,6.0
🪐,ringed planet,ringed_planet,,Travel & Places,12.0,13.0
⭐,star,star,,Travel & Places,5.1,6.0
🌟,glowing star,star2,,Travel & Places,6.0,6.0
🌠,shooting star,stars,,Travel & Places,6.0,6.0
🌌,milky way,milky_way,,Travel & Places,6.0,6.0
☁️,cloud,cloud,,Travel & Places,,6.0
⛅,sun behind cloud,partly_sunny,weather cloud,Travel & Places,5.2,6.0
⛈️,cloud with lightning and rain,cloud_with_lightning_and_rain,,Travel & Places,5.2,9.1
🌤️,sun behind small cloud,sun_behind_small_cloud,,Travel & Places,7.0,9.1
🌥️,sun behind large cloud,sun_behind_large_cloud,,Travel & Places,7.0,9.1
🌦️,sun behind rain cloud,sun_behind_rain_cloud,,Travel & Places,7.0,9.1
🌧️,cloud with rain,cloud_with_rain,,Travel & Places,7.0,9.1
🌨️,cloud with snow,cloud_with_snow,,Travel & Places,7.0,9.1
🌩️,cloud with lightning,cloud_with_lightning,,Travel & Places,7.0,9.1
🌪️,tornado,tornado,,Travel & Places,7.0,9.1
🌫️,fog,fog,,Travel & Places,7.0,9.1
🌬️,wind face,wind_face,,Travel & Places,7.0,9.1
🌀,cyclone,cyclone,swirl,Travel & Places,6.0,6.0
🌈,rainbow,rainbow,,Travel & Places,6.0,6.0
🌂,closed umbrella,closed_umbrella,weather rain,Travel & Places,6.0,6.0
☂️,umbrella,open_umbrella,,Travel & Places,,9.1
☔,umbrella with rain drops,umbrella,rain weather,Travel & Places,4.0,6.0
⛱️,umbrella on ground,parasol_on_ground,beach_umbrella,Travel & Places,5.2,9.1
⚡,high voltage,zap,lightning thunder,Travel & Places,4.0,6.0
❄️,snowflake,snowflake,winter cold weather,Travel & Places,,6.0
☃️,snowman,snowman_with_snow,winter christmas,Travel & Places,,9.1
⛄,snowman without snow,snowman,winter,Travel & Places,5.2,6.0
☄️,comet,comet,,Travel & Places,,9.1
🔥,fire,fire,burn,Travel & Places,6.0,6.0
💧,droplet,droplet,water,Travel & Places,6.0,6.0
🌊,water wave,ocean,sea,Travel & Places,6.0,6.0
🎃,jack-o-lantern,jack_o_lantern,halloween,Activities,6.0,6.0
🎄,Christmas tree,christmas_tree,,Activities,6.0,6.0
🎆,fireworks,fireworks,festival celebration,Activities,6.0,6.0
🎇,sparkler,sparkler,,Activities,6.0,6.0
🧨,firecracker,firecracker,,Activities,11.0,12.1
✨,sparkles,sparkles,shiny,Activities,6.0,6.0
🎈,balloon,balloon,party birthday,Activities,6.0,6.0
🎉,party popper,tada,hooray party,Activities,6.0,6.0
🎊,confetti ball,confetti_ball,,Activities,6.0,6.0
🎋,tanabata tree,tanabata_tree,,Activities,6.0,6.0
🎍,pine decoration,bamboo,,Activities,6.0,6.0
🎎,Japanese dolls,dolls,,Activities,6.0,6.0
🎏,carp streamer,flags,,Activities,6.0,6.0
🎐,wind chime,wind_chime,,Activities,6.0,6.0
🎑,moon viewing ceremony,rice_scene,,Activities,6.0,6.0
🧧,red envelope,red_envelope,,Activities,11.0,12.1
🎀,ribbon,ribbon,,Activities,6.0,6.0
🎁,wrapped gift,gift,present birthday christmas,Activities,6.0,6.0
🎗️,reminder ribbon,reminder_ribbon,,Activities,7.0,9.1
🎟️,admission tickets,tickets,,Activities,7.0,9.1
🎫,ticket,ticket,,Activities,6.0,6.0
🎖️,military medal,medal_military,,Activities,7.0,9.1
🏆,trophy,trophy,award contest winner,Activities,6.0,6.0
🏅,sports medal,medal_sports,gold winner,Activities,7.0,9.1
🥇,1st place medal,1st_place_medal,gold,Activities,9.0,10.2
🥈,2nd place medal,2nd_place_medal,silver,Activities,9.0,10.2
🥉,3rd place medal,3rd_place_medal,bronze,Activities,9.0,10.2
⚽,soccer ball,soccer,sports,Activities,5.2,6.0
⚾,baseball,baseball,sports,Activities,5.2,6.0
🥎,softball,softball,,Activities,11.0,12.1
🏀,basketball,basketball,sports,Activities,6.0,6.0
🏐,volleyball,volleyball,,Activities,8.0,9.1
🏈,american football,football,sports,Activities,6.0,6.0
🏉,rugby football,rugby_football,,Activities,6.0,6.0
🎾,tennis,tennis,sports,Activities,6.0,6.0
🥏,flying disc,flying_disc,,Activities,11.0,12.1
🎳,bowling,bowling,,Activities,6.0,6.0
🏏,cricket game,cricket_game,,Activities,8.0,9.1
🏑,field hockey,field_hockey,,Activities,8.0,9.1
🏒,ice hockey,ice_hockey,,Activities,8.0,9.1
🥍,lacrosse,lacrosse,,Activities,11.0,12.1
🏓,ping pong,ping_pong,,Activities,8.0,9.1
🏸,badminton,badminton,,Activities,8.0,9.1
🥊,boxing glove,boxing_glove,,Activities,9.0,10.2
🥋,martial arts uniform,martial_arts_uniform,,Activities,9.0,10.2
🥅,goal net,goal_net,,Activities,9.0,10.2
⛳,flag in hole,golf,,Activities,5.2,6.0
⛸️,ice skate,ice_skate,skating,Activities,5.2,9.1
🎣,fishing pole,fishing_pole_and_fish,,Activities,6.0,6.0
🤿,diving mask,diving_mask,,Activities,12.0,13.0
🎽,running shirt,running_shirt_with_sash,marathon,Activities,6.0,6.0
🎿,skis,ski,,Activities,6.0,6.0
🛷,sled,sled,,Activities,11.0,12.1
🥌,curling stone,curling_stone,,Activities,11.0,12.1
🎯,bullseye,dart,target,Activities,6.0,6.0
🪀,yo-yo,yo_yo,,Activities,12.0,13.0
🪁,kite,kite,,Activities,12.0,13.0
🔫,water pistol,gun,shoot weapon,Activities,6.0,6.0
🎱,pool 8 ball,8ball,pool billiards,Activities,6.0,6.0
🔮,crystal ball,crystal_ball,fortune,Activities,6.0,6.0
🪄,magic wand,magic_wand,,Activities,13.0,14.0
🎮,video game,video_game,play controller console,Activities,6.0,6.0
🕹️,joystick,joystick,,Activities,7.0,9.1
🎰,slot machine,slot_machine,,Activities,6.0,6.0
🎲,game die,game_die,dice gambling,Activities,6.0,6.0
🧩,puzzle piece,jigsaw,,Activities,11.0,12.1
🧸,teddy bear,teddy_bear,,Activities,11.0,12.1
🪅,piñata,pinata,,Activities,13.0,14.0
🪩,mirror ball,mirror_ball,disco party,Activities,14.0,15.4
🪆,nesting dolls,nesting_dolls,,Activities,13.0,14.0
♠️,spade suit,spades,,Activities,,6.0
♥️,heart suit,hearts,,Activities,,6.0
♦️,diamond suit,diamonds,,Activities,,6.0
♣️,club suit,clubs,,Activities,,6.0
♟️,chess pawn,chess_pawn,,Activities,11.0,12.1
🃏,joker,black_joker,,Activities,6.0,6.0
🀄,mahjong red dragon,mahjong,,Activities,,6.0
🎴,flower playing cards,flower_playing_cards,,Activities,6.0,6.0
🎭,performing arts,performing_arts,theater drama,Activities,6.0,6.0
🖼️,framed picture,framed_picture,,Activities,7.0,9.1
🎨,artist palette,art,design paint,Activities,6.0,6.0
🧵,thread,thread,,Activities,11.0,12.1
🪡,sewing needle,sewing_needle,,Activities,13.0,14.0
🧶,yarn,yarn,,Activities,11.0,12.1
🪢,knot,knot,,Activities,13.0,14.0
👓,glasses,eyeglasses,glasses,Objects,6.0,6.0
🕶️,sunglasses,dark_sunglasses,,Objects,7.0,9.1
🥽,goggles,goggles,,Objects,11.0,12.1
🥼,lab coat,lab_coat,,Objects,11.0,12.1
🦺,safety vest,safety_vest,,Objects,12.0,13.0
👔,necktie,necktie,shirt formal,Objects,6.0,6.0
👕,t-shirt,shirt tshirt,,Objects,6.0,6.0
👖,jeans,jeans,pants,Objects,6.0,6.0
🧣,scarf,scarf,,Objects,11.0,12.1
🧤,gloves,gloves,,Objects,11.0,12.1
🧥,coat,coat,,Objects,11.0,12.1
🧦,socks,socks,,Objects,11.0,12.1
👗,dress,dress,,Objects,6.0,6.0
👘,kimono,kimono,,Objects,6.0,6.0
🥻,sari,sari,,Objects,12.0,13.0
🩱,one-piece swimsuit,one_piece_swimsuit,,Objects,12.0,13.0
🩲,briefs,swim_brief,,Objects,12.0,13.0
🩳,shorts,shorts,,Objects,12.0,13.0
👙,bikini,bikini,beach,Objects,6.0,6.0
👚,woman’s clothes,womans_clothes,,Objects,6.0,6.0
🪭,folding hand fan,folding_hand_fan,sensu,Objects,15.0,16.4
👛,purse,purse,,Objects,6.0,6.0
👜,handbag,handbag,bag,Objects,6.0,6.0
👝,clutch bag,pouch,bag,Objects,6.0,6.0
🛍️,shopping bags,shopping,bags,Objects,7.0,9.1
🎒,backpack,school_satchel,,Objects,6.0,6.0
🩴,thong sandal,thong_sandal,,Objects,13.0,14.0
👞,man’s shoe,mans_shoe shoe,,Objects,6.0,6.0
